site,date,evi,tag
SJER,2016-07-03,0.1839,training
HARV,2016-07-19,0.7291000000000001,training
SJER,2016-07-19,0.1813,training
HARV,2016-08-04,0.7143,training
SJER,2016-08-04,0.1738,training
HARV,2016-08-20,0.6295000000000001,training
SJER,2016-08-20,0.1784,training
HARV,2016-09-05,0.6122000000000001,training
SJER,2016-09-05,0.1728,training
HARV,2016-09-21,0.634,training
SJER,2016-09-21,0.1822,training
HARV,2016-10-07,0.5677,training
SJER,2016-10-07,0.1898,training
HARV,2016-10-23,0.3627,training
SJER,2016-10-23,0.1925,training
HARV,2016-11-08,0.32280000000000003,training
SJER,2016-11-08,0.1811,training
HARV,2016-11-24,0.3149,training
SJER,2016-11-24,0.2416,training
HARV,2016-12-10,0.26330000000000003,training
SJER,2016-12-10,0.2431,training
HARV,2016-12-26,0.2636,training
SJER,2016-12-26,0.2778,training
HARV,2017-01-09,0.2636,training
SJER,2017-01-09,0.2778,training
HARV,2017-01-25,0.3264,training
SJER,2017-01-25,0.2977,training
HARV,2017-02-10,0.273,training
SJER,2017-02-10,0.3897000000000001,training
HARV,2017-02-26,0.26880000000000004,training
SJER,2017-02-26,0.4384,training
HARV,2017-03-14,0.2162,training
SJER,2017-03-14,0.4192,training
HARV,2017-03-30,0.28140000000000004,training
SJER,2017-03-30,0.4098,training
HARV,2017-04-15,0.31020000000000003,training
SJER,2017-04-15,0.3993,training
HARV,2017-05-01,0.3528,training
SJER,2017-05-01,0.3607,training
HARV,2017-05-17,0.4011,training
SJER,2017-05-17,0.2355,training
HARV,2017-06-02,0.6195,training
SJER,2017-06-02,0.2131,training
HARV,2017-06-18,0.5963,training
SJER,2017-06-18,0.2162,training
HARV,2017-07-04,0.6697000000000001,training
SJER,2017-07-04,0.1937,training
HARV,2017-07-20,0.6940000000000001,training
SJER,2017-07-20,0.1882,training
HARV,2017-08-05,0.6721,training
SJER,2017-08-05,0.1994,training
HARV,2017-08-21,0.602,training
SJER,2017-08-21,0.1882,training
HARV,2017-09-06,0.5506,training
SJER,2017-09-06,0.1998,training
HARV,2017-09-22,0.5577,training
SJER,2017-09-22,0.1809,training
HARV,2017-10-08,0.4552000000000001,training
SJER,2017-10-08,0.1939,training
HARV,2017-10-24,0.3777,training
SJER,2017-10-24,0.2097,training
HARV,2017-11-09,0.3183,training
SJER,2017-11-09,0.17170000000000002,training
HARV,2017-11-25,0.2483,training
SJER,2017-11-25,0.17470000000000002,training
HARV,2017-12-11,0.33290000000000003,training
SJER,2017-12-11,0.17270000000000002,training
HARV,2017-12-27,0.4003,training
SJER,2017-12-27,0.17600000000000002,training
HARV,2018-01-09,0.2173,training
SJER,2018-01-09,0.2137,training
HARV,2018-01-25,0.276,training
SJER,2018-01-25,0.2105,training
HARV,2018-02-10,0.2479,training
SJER,2018-02-10,0.2553,training
HARV,2018-02-26,0.3229,training
SJER,2018-02-26,0.29550000000000004,training
HARV,2018-03-14,0.1515,training
SJER,2018-03-14,0.3728,training
HARV,2018-03-30,0.2554,training
SJER,2018-03-30,0.4045,training
HARV,2018-04-15,0.2906,training
SJER,2018-04-15,0.3696,training
HARV,2018-05-01,0.3448,training
SJER,2018-05-01,0.2768,training
HARV,2018-05-17,0.5623,training
SJER,2018-05-17,0.2187,training
HARV,2018-06-02,0.7194,training
SJER,2018-06-02,0.1906,training
HARV,2018-06-18,0.7593000000000001,training
SJER,2018-06-18,0.1878,training
HARV,2018-07-04,0.6998000000000001,training
SJER,2018-07-04,0.1842,training
HARV,2018-07-20,0.7315,training
SJER,2018-07-20,0.198,training
HARV,2018-08-05,0.7033,training
SJER,2018-08-05,0.1903,training
HARV,2018-08-21,0.6561,training
SJER,2018-08-21,0.1865,training
HARV,2018-09-06,0.6314000000000001,training
SJER,2018-09-06,0.1847,training
HARV,2018-09-22,0.5584,training
SJER,2018-09-22,0.1966,training
HARV,2018-10-08,0.4694,training
SJER,2018-10-08,0.2007,training
